,N,Среднее,Медиана,Мин,Макс,Ст_откл,Дисперсия,Асимметрия,Эксцесс,Пропущено,Пропущено_проц
Minecraft,12,8.8333333333333304,10,2,10,2.7579087378048999,7.60606060606061,-1.8835243343436401,4.7050205552292796,0,0
GTA,12,6.75,7,0,10,2.9580398915498098,8.75,-0.82403869538703101,3.25416765053129,0,0
Mafia,12,6.0833333333333304,6,1,10,3.3698754585385799,11.3560606060606,-0.16434438435113699,1.56717553752758,0,0
Far.Cry,11,6.3636363636363598,7,0,10,2.6934263410283701,7.2545454545454504,-1.0824830027899499,3.9829178208679599,1,8.3000000000000007
Need.for.Speed,12,6.6666666666666696,7.5,2,10,3.33938843974689,11.1515151515152,-0.38473175854552699,1.56698960302457,0,0
Portal,10,7.0999999999999996,8,1,10,3.0349812373573402,9.2111111111111104,-0.778755035711576,2.50912998496888,2,16.699999999999999
Detroit..Become.Human,12,7.0833333333333304,7,3,10,2.3143164446679698,5.35606060606061,-0.24310118698810601,2.09885185325968,0,0
Cyberpunk,10,5.9000000000000004,6,3,10,2.51440295541948,6.3222222222222202,0.20688485716803001,1.83103276799862,2,16.699999999999999
Ведьмак,11,7.6363636363636402,7,3,10,2.24823162831267,5.0545454545454502,-0.68602619006669596,2.6332229180684199,1,8.3000000000000007
L.A..Noire,10,5.7000000000000002,5,3,10,2.31180545125329,5.3444444444444397,0.72574543072979303,2.4672135753216802,2,16.699999999999999
Half.Life,12,7.5833333333333304,7.5,4,10,1.97522534195852,3.90151515151515,-0.27705500548284101,2.10087661419549,0,0
Frostpunk,11,6.9090909090909101,6,5,10,2.1658506621900502,4.6909090909090896,0.61733941455157104,1.6517486929872001,1,8.3000000000000007
FNAF,12,3.75,3,0,8,2.9580398915498098,8.75,0.0123812157904562,1.5598785629954499,0,0
Team.Fortress,10,5.2999999999999998,5.5,0,10,2.8693785622209802,8.2333333333333307,-0.28734329319273,2.6598206821944301,2,16.699999999999999
Герои,12,7.4166666666666696,9,2,10,2.9987371079213099,8.9924242424242404,-0.48420913415413402,1.6762703792631399,0,0
