Отметка времени,Minecraft,GTA,Mafia,Far Cry,Need for Speed,Portal,Detroit: Become Human,Cyberpunk,Ведьмак,L.A. Noire,Half-Life,Frostpunk,FNAF,Team Fortress,Герои
2/15/2026 18:50:16,10,10,10,10,7,10,10,7,5,5,10,6,6,10,4
2/15/2026 18:56:47,10,9,4,7,9,8,7,5,10,5,8,6,3,6,10
2/15/2026 18:57:12,10,7,5,7,10,6,5,3,7,5,7,5,6,4,10
2/15/2026 18:57:31,10,7,9,9,5,8,8,9,10,5,8,10,7,8,10
2/15/2026 18:57:32,10,0,10,0,10,,10,,,,10,,0,,5
2/15/2026 19:00:13,10,10,2,,8,1,4,7,9,9,6,8,0,0,5
2/15/2026 19:05:27,10,4,2,5,2,4,3,3,7,3,5,5,3,2,10
2/15/2026 19:37:36,4,7,7,7,5,5,8,7,9,5,7,5,7,5,5
2/15/2026 19:42:17,10,7,5,6,2,10,7,5,10,7,7,6,2,5,10
2/15/2026 21:02:57,10,5,8,8,10,9,7,3,7,3,9,10,0,7,8
2/16/2026 12:22:06,2,5,1,4,2,,6,,3,,4,5,3,,2
2/16/2026 13:28:12,10,10,10,7,10,10,10,10,7,10,10,10,8,6,10
