"Игра","N","Среднее","Медиана","Мин","Макс","Ст_откл","Дисперсия","Асимметрия","Эксцесс","Пропущено","Пропущено_проц"
"Minecraft",12,8.83,10,2,10,2.76,7.61,-1.88,4.71,0,0
"GTA",12,6.75,7,0,10,2.96,8.75,-0.82,3.25,0,0
"Mafia",12,6.08,6,1,10,3.37,11.36,-0.16,1.57,0,0
"Far.Cry",11,6.36,7,0,10,2.69,7.25,-1.08,3.98,1,8.3
"Need.for.Speed",12,6.67,7.5,2,10,3.34,11.15,-0.38,1.57,0,0
"Portal",10,7.1,8,1,10,3.03,9.21,-0.78,2.51,2,16.7
"Detroit..Become.Human",12,7.08,7,3,10,2.31,5.36,-0.24,2.1,0,0
"Cyberpunk",10,5.9,6,3,10,2.51,6.32,0.21,1.83,2,16.7
"Ведьмак",11,7.64,7,3,10,2.25,5.05,-0.69,2.63,1,8.3
"L.A..Noire",10,5.7,5,3,10,2.31,5.34,0.73,2.47,2,16.7
"Half.Life",12,7.58,7.5,4,10,1.98,3.9,-0.28,2.1,0,0
"Frostpunk",11,6.91,6,5,10,2.17,4.69,0.62,1.65,1,8.3
"FNAF",12,3.75,3,0,8,2.96,8.75,0.01,1.56,0,0
"Team.Fortress",10,5.3,5.5,0,10,2.87,8.23,-0.29,2.66,2,16.7
"Герои",12,7.42,9,2,10,3,8.99,-0.48,1.68,0,0
