url,price_rub,address,rooms,total_area_m2,floor,floors_total
https://krasnodar.cian.ru/sale/flat/325558374/?context=3.UsOclEjgoJM.XwB5b2GlsbA_Dq5T6LWa00snPBt2ou8mlR970fWYV4oxg4jyPqod8Nj-TbhDrh222n2hYtHZ1SPSug&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,1600000,"Краснодар, Карасунский",0,17.4,2,5
https://krasnodar.cian.ru/sale/flat/327400249/?context=3.8qdElzfONgc.LHjdsA_PEd0M5olb2cSTPScXU6gmTqT9ZTYhVHSasjJhpdzz7XxIg_LTHCAQhlq6yvbvWG6THa8sQQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,1800000,"Краснодар, Карасунский",0,20.7,16,25
https://krasnodar.cian.ru/sale/flat/325601795/?context=3.eWhBL0nQaj8.M0ul88q-msVC2ZI0cKDNGuoR4XJ7upTJFltAYDlsq_n3AzOE8b4rTca1N6ckuwJPFme1S-Y9D3gP_A&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,1900000,"Краснодар, Прикубанский",0,21.6,15,16
https://krasnodar.cian.ru/sale/flat/325105687/?context=3.J-HzzY-owTU.d9XBLSN4gHoh5isZXYIG_D5HUevSNMq-I7-AkuOn6vdavcCxkJ0JI5wbZgDUOx-5qfQgD2vINijvRA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,1950000,"Краснодар, Прикубанский",0,21.6,15,16
https://krasnodar.cian.ru/sale/flat/327400256/?context=3.aQdmOdAwe64.odN5oky1hD7DDl3kdw0KddMMf1EdC6P66RiXkVVW-DQ2aQtsgzpHwh5V6OIHU8-o7M2s4F3rWP0VZg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2000000,"Краснодар, Прикубанский",1,33.9,5,6
https://krasnodar.cian.ru/sale/flat/328188788/?context=3.1WeV3zcmqgM._lxt5nvZal2mXYicQnzKHoZ33IcBFLWq4XHqUMFR-uCN9fKDRA7y_uOYaoDDW5kBAfHRg6-VHz0QcQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2150000,"Краснодар, Прикубанский",0,22.0,3,17
https://krasnodar.cian.ru/sale/flat/327620836/?context=3.mcf0kTEs3O0.GY1Y-Xiy6mI_C1d3QZoKDg8zu7basUr35F6sx5_Lp42IQxTFooBAPe5qWZUvw2maJLjYkz3p3DhhGw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2200000,"Краснодар, Прикубанский",1,25.2,5,6
https://krasnodar.cian.ru/sale/flat/324143551/?context=3.hvL1zm6bX68.7rojzUQ5FQl6yUlWjaXv7Mt-dWV0bPsPVW8SvdnMfLdlabjXCa9jZJxhDgNIyOSrM2fygZr9DZcTTw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2430000,"Краснодар, Прикубанский",1,34.9,6,6
https://krasnodar.cian.ru/sale/flat/327386687/?context=3.8lfSIDQNEoo.dK3cXQMg27MEMAout4eWgnuZphWu2SJ9i2B4BNLiwd4mMkS7-drL8kPyx7CWfedguUhmFiajObQjRQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2450000,"Краснодар, Прикубанский",0,25.0,12,24
https://krasnodar.cian.ru/sale/flat/327713719/?context=3.PTfAjoEFWe4.gLoiTshF-nhuL7jyQ5CetpHvy_28G8Po3MxbroepgmeU56KErEOAvY9Z9U8ifmKTqcFMfrWBUog5Kg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2500000,"Краснодар, Центральный",1,22.3,1,1
https://krasnodar.cian.ru/sale/flat/324143537/?context=3.74PDFBbJr5g.IauYLXnSqMT34zocDfyP-3deQQ1oEu4682M-VK47RX8FWqs16GFwqHHj4HHTJ5w2K5_oCJZc5deYVw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2530000,"Краснодар, Прикубанский",0,21.1,9,16
https://krasnodar.cian.ru/sale/flat/310138856/?context=3._hGxDxl0tDU._LWdBDcYyo_GZ2hozS1JneUrlLSrJQy4QNfEpmxWg6RA4waJfv84yD6o_OdX-iQ_E7oflf-tImCjSA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2550000,"Краснодар, Прикубанский",1,30.0,4,9
https://krasnodar.cian.ru/sale/flat/327620832/?context=3.aFDP7fTzg8E.mdpbm4x5a9N6cZsnIbC7Z5AUm3SvY0eT_wvfOdF_efLeBSw_2UJyGadqkG8k8vzIxKK5hI47rHMIDQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2550000,"Краснодар, Прикубанский",1,32.1,23,24
https://krasnodar.cian.ru/sale/flat/326507130/?context=3.OMGMR2-k81Q.8fYHT8JN3XsmjvmDZVoq_qnvi6BbgdNcNUDA-InCwE2cd5jfnnRmBNkAlcWEGjX_Lu1oh834cqFjMA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2600000,"Краснодар, Карасунский",1,31.6,7,10
https://krasnodar.cian.ru/sale/flat/322036941/?context=3.G87fBeh3xwA.8uGL7vm3gbRsLju1c880si6pCp9BTc2tn4RV5XYh_gSWz2dGo_G7ocmpLec8P1opzsF6cZzyGQyTSA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2700000,"Краснодар, Прикубанский",1,36.0,7,21
https://krasnodar.cian.ru/sale/flat/327770124/?context=3.R7in-xRGAk8.UG69bboZaC5GKua_oB14fsvuARvDPQPekTUUNKEoNrC944kohQUuIMtM4TMJCuuoWP_RHOFsy91nMQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2700000,"Краснодар, Центральный",2,32.2,1,1
https://krasnodar.cian.ru/sale/flat/324133680/?context=3.Y9K5u9JGvCE.x8gLkpQXj-A8ErnxOup0sR2N_Wavsasqgn9XJ28p2NcofSwVv0FRto3V7sH6zYG-l36sZkNiHL1BjA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2730000,"Краснодар, Прикубанский",0,21.1,8,16
https://maykop.cian.ru/sale/flat/326481593/?context=3.FldQgMXW7GI.EajydXo1wRacDcpfYOqBx80RCeSL547aMkh9WCFxN3xIDW_77HN5D1lsVJ0Pz991FUWsghMvfjMOQw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2750000,"Краснодар, Тургеневского моста Квaртира pacпoлoжена на трeтьем этaже киpпичного 5-этaжнoгo дома. Компактная студия 19м2",0,19.6,3,5
https://krasnodar.cian.ru/sale/flat/327698845/?context=3.eY45K_PXJtA.nkEFPmauXD6tAfYA9N8uyMNkipEdJb5HnvH3kxj8UNN8Zb9Zd_iHyLuD4p0JXjx7_JRzNWPU70isxA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2850000,"Краснодар, Прикубанский",1,47.6,21,24
https://maykop.cian.ru/sale/flat/328193307/?context=3.x14mG_VxsPk.xMa8Hq4fsrRDhTSfwwcH_ex3lfHLV_qen4PvSWBR1U3Y0n6WcaX56tvQLEJCnJqqNO2ojFYzgwjynw&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2900000,"Краснодар, быстрый выход на сделку. Готова к продаже .",0,29.2,2,5
https://krasnodar.cian.ru/sale/flat/327527846/?context=3.ZW4Xn584Rxo.swzgwjR4C-EaQ7vesJ5-MrbzJlKqnbWVl0WcftpU6Wr9ehcLcaZ_sIXZMb_AEf8ikQQV66ho4LPktA&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2900000,"Краснодар, Прикубанский",1,39.8,2,16
https://krasnodar.cian.ru/sale/flat/321437057/?context=3._QN5UpmdNWE.jZ3JH0AWQfrsYcPYbyN8yNN82Ws2PV3EtnMe5nlUi8lJj3kEY1GibawibGtuhsxBWpS9Y8mVRUNk8A&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2900000,"Краснодар, Прикубанский",2,37.0,3,24
https://maykop.cian.ru/sale/flat/324143595/?context=3.1dKTdo1IA5A.B3jxcejAQcnT3xlNHldfeuyoNb_WAgyjeiHmfvGezfxLjmvL-_sOMHSqjOp8ow-YzEtYV260doEvqg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2930000,Краснодар,0,21.7,1,10
https://krasnodar.cian.ru/sale/flat/320332917/?context=3.OQROorh2puk.4iIN8i6RanOurlffO5e5CgNsN9ASYfpPPzINDbns6ZJjmz6EsVYgt1Vm9vS4f6LwsFqAsVSOtesoXg&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2950000,"Краснодар, Прикубанский",2,53.9,9,10
https://krasnodar.cian.ru/sale/flat/327386706/?context=3.YvYp2eEwM50.HeVGPR5QBd3OvY_m8F9nSpIFR9YcHL0opI3uw1wRbMdxPpjMaGtwlh71Jwjqg2ejrXF8fYbIEKu6zQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2980000,"Краснодар, Прикубанский",1,30.5,2,8
https://krasnodar.cian.ru/sale/flat/313817972/?context=3.h4afZDjp_mg.q17S1u5A5LosMPFbKnkdYNIu8MhnsdXRQbHruUnb9OOIJspe-pfUUBTgwdzWtyCgbpDzfOMA98u9mQ&mlSearchSessionGuid=139237a11829fed231f7bdc7870a78d2,2990000,"Краснодар, Прикубанский",1,33.64,10,21
