"Museum_Name","Address","Description","Wiki_Link","Photo_Link"
"Балтийский филиал ГМИИ","Калининград","Балтийский филиал ГМИИ им. А. С. Пушкина (ГЦСИ Калининград), БФ ГЦСИ — музей современного искусства, располагающийся в Калининграде, филиал ГЦСИ, с 2020 года находящегося в подчинении ГМИИ. Начал работу 28 ноября 1997 года[1][2]. За 28 лет работы коллективом Балтийского филиала проведены более 800 выставочных, просветительских, исследовательских и фестивальных проектов – российских и международных, благодаря которым отечественное современное искусство получило осмысление и признание в мировом художественном контексте. Проекты Балтийского филиала были представлены в 20 городах России и 17 стран","https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D1%82%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B9_%D1%84%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB_%D0%93%D0%9C%D0%98%D0%98","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/GTsSI_Kaliningrad_%282023%29_01_by_shakko.jpg/330px-GTsSI_Kaliningrad_%282023%29_01_by_shakko.jpg"
"Калининградский областной историко-художественный музей","г. Калининград, ул. Клиническая, 21","Description not found in first paragraph","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B9_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D0%BA%D0%BE-%D1%85%D1%83%D0%B4%D0%BE%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BC%D1%83%D0%B7%D0%B5%D0%B9","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Istoriko-hudozhestvennyMuzey.JPG/330px-Istoriko-hudozhestvennyMuzey.JPG"
"Калининградский областной музей изобразительных искусств","Калининград, Ленинский проспект, 83","Калинингра́дский областно́й музе́й изобрази́тельных иску́сств (до ноября 2017 года — Калининградский областной музей «Художественная галерея») — художественный музей в Калининграде, открывшийся 24 ноября 1988 года.","https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B8%D0%B9_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B9_%D0%BC%D1%83%D0%B7%D0%B5%D0%B9_%D0%B8%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D1%85_%D0%B8%D1%81%D0%BA%D1%83%D1%81%D1%81%D1%82%D0%B2","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/%D0%A2%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B1%D0%B8%D1%80%D0%B6%D0%B0_%28%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%291.jpg/330px-%D0%A2%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B1%D0%B8%D1%80%D0%B6%D0%B0_%28%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%291.jpg"
"Кёнигсбергский собор","Address not specified","До́мский собо́р Богома́тери и Свято́го Адальбе́рта[1] — недействующий кафедральный собор, расположенный в историческом районе города Калининграда — Кнайпхофе (ныне официально именуемом как «Остров Иммануила Канта»), одной из островных частей бывшего восточно-прусского города Кёнигсберга.","https://ru.wikipedia.org/wiki/%D0%9A%D1%91%D0%BD%D0%B8%D0%B3%D1%81%D0%B1%D0%B5%D1%80%D0%B3%D1%81%D0%BA%D0%B8%D0%B9_%D1%81%D0%BE%D0%B1%D0%BE%D1%80","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Kaliningrad_05-2017_img04_Kant_Island.jpg/330px-Kaliningrad_05-2017_img04_Kant_Island.jpg"
"Королевские ворота","Address not specified","Короле́вские воро́та (нем. Königstor) — одни из восьми сохранившихся городских ворот Калининграда. Расположены на пересечении улицы Фрунзе и Литовского вала. В 2005 году Королевские ворота были символом празднования 750-летия Калининграда[1]. С того же года в воротах размещается Историко-культурный центр «Великое посольство», являющийся филиалом Музея Мирового океана[2]. В воротах расположены экспозиции, посвящённые возникновению и развитию города-крепости Кёнигсберг, посещению Кёнигсберга выдающимися людьми и дипломатической истории Кёнигсберга-Калининграда (в частности, посещению Кёнигсберга","https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D0%BE%D1%80%D0%BE%D1%82%D0%B0","https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Kaliningrad_05-2017_img18_Kings_Gate.jpg/330px-Kaliningrad_05-2017_img18_Kings_Gate.jpg"
"Музей и могила Канта","Россия, Калининград, ул. И. Канта, 1","Музей Канта — музей в городе Калининграде, расположенный в здании Кафедрального собора. Посвящён жизни и творчеству немецкого философа Иммануила Канта.","https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9_%D0%B8_%D0%BC%D0%BE%D0%B3%D0%B8%D0%BB%D0%B0_%D0%9A%D0%B0%D0%BD%D1%82%D0%B0","https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Moskovskiy_rayon%2C_Konigsberg%2C_Kaliningradskaya_oblast%27_Russia_-_panoramio_-_Aldis_Dzenovskis_%286%29.jpg/250px-Moskovskiy_rayon%2C_Konigsberg%2C_Kaliningradskaya_oblast%27_Russia_-_panoramio_-_Aldis_Dzenovskis_%286%29.jpg"
"Музей Мирового океана","Россия,236006,г. Калининград,набережная Петра Великого, дом 1.","Музей-заповедник «Музей Мирового океана» — первый в России комплексный маринистический музей-заповедник, расположенный в Калининградской области, а также имеет филиал ""Ледокол «Красин» в Санкт-Петербурге. В музее располагаются экспозиции, посвящённые судоходству, морской флоре и фауне, геологии и гидрологии Мирового океана, открытое морское фондохранилище, маринистическая библиотека и действующая экологическая станция.","https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9_%D0%9C%D0%B8%D1%80%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE_%D0%BE%D0%BA%D0%B5%D0%B0%D0%BD%D0%B0","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Kaliningrad_-_World_Ocean_Muzeum_-_Vityaz_-_View_of_World_Ocean_Museum_main_building.jpg/330px-Kaliningrad_-_World_Ocean_Muzeum_-_Vityaz_-_View_of_World_Ocean_Museum_main_building.jpg"
"Музей янтаря (Калининград)","Калининград","Калининградский областной музе́й янтаря́ (ГБУК «Калининградский областной музей янтаря») находится в городе Калининграде[1]. Решение о создании Музея янтаря было принято в 1969 году[2]. Тогда же под него было определено здание — «Башня Дона» вместе с Росгартенскими воротами[3].","https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D0%B7%D0%B5%D0%B9_%D1%8F%D0%BD%D1%82%D0%B0%D1%80%D1%8F_(%D0%9A%D0%B0%D0%BB%D0%B8%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4)","https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Kaliningrad_Amber_Museum_Logo.svg/250px-Kaliningrad_Amber_Museum_Logo.svg.png"
"СРТ-129","Address not specified","Рыболовное судно СРТ-129 в Калининграде на реке Преголя.","https://ru.wikipedia.org/wiki/%D0%A1%D0%A0%D0%A2-129","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/%D0%A1%D0%A0%D0%A2-129.jpg/330px-%D0%A1%D0%A0%D0%A2-129.jpg"
"Форт № 5 — Король Фридрих Вильгельм III","Address not specified","Форт № 5 — Король Фридрих Вильгельм III (нем. Friedrich Wilhelm III) — военное фортификационное сооружение в Кёнигсберге (ныне Калининград), которое прикрывало шоссейную дорогу на Пиллау. Относится к кольцу фортов «Ночная перина Кёнигсберга». Назван в честь короля Пруссии Фридриха Вильгельма III (1770—1848), который возглавлял государство во время войны с Наполеоном.","https://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D1%80%D1%82_%E2%84%96_5_%E2%80%94_%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C_%D0%A4%D1%80%D0%B8%D0%B4%D1%80%D0%B8%D1%85_%D0%92%D0%B8%D0%BB%D1%8C%D0%B3%D0%B5%D0%BB%D1%8C%D0%BC_III","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Fort_5_entrance.jpg/330px-Fort_5_entrance.jpg"
