"Rank","Country","Quality_of_Life_Index","Purchasing_Power_Index","Safety_Index","Health_Care_Index","Cost_of_Living_Index","Property_Price_to_Income_Ratio","Traffic_Commute_Time_Index","Pollution_Index","Climate_Index","Year"
NA,"Austria",171.8,91.5,74.2,79.7,89.5,9.2,24.5,31.7,NA,2014
NA,"Japan",168.5,99.6,81.9,85,94.1,8.3,47.6,40.8,NA,2014
NA,"Hungary",83.2,44.9,62.5,46.6,59.3,9.6,34.8,48.3,NA,2014
NA,"China",30.3,43.7,69.9,65.1,54.1,26.1,31.2,84.7,NA,2014
NA,"Russia",16.5,37.3,47.3,43.5,61.8,14.7,49.7,76.5,NA,2014
NA,"Austria",182.6,104.6,73.8,78.4,76.9,9.6,25.9,34,NA,2015
NA,"Japan",168.3,98.2,79.8,87.1,80.4,9.2,51,38.2,NA,2015
NA,"Hungary",93.1,46.9,58.2,51.6,48.9,8.6,30.1,46.3,NA,2015
NA,"Russia",28.4,38.9,48.7,51.8,61.9,14.6,47.1,72.8,NA,2015
NA,"China",16,48.6,58.3,58.7,48.9,26.4,37.5,89.4,NA,2015
NA,"Austria",192.4,120.5,75.9,77.8,66.6,9.5,26.8,30.8,63.8,2016
NA,"Japan",176.1,117.6,80.7,80.4,81.3,20.2,48.4,34,79.6,2016
NA,"Hungary",140.7,56.3,58.1,52.1,41.3,9.8,31.8,46.7,66.9,2016
NA,"China",99,77.4,67.9,61.2,48.1,25,44.1,85.5,46.6,2016
NA,"Russia",88.3,57.4,52.7,54.1,38.5,12.8,49.1,64.5,10.9,2016
NA,"Austria",190.4,95.7,80.8,80.9,71.5,9.7,26.3,21.9,62.1,2017
NA,"Japan",147.5,102.5,79.1,78.6,85.3,12.7,46.8,41,31.9,2017
NA,"Hungary",138.8,47.5,61.6,53.5,42.8,11.2,33.1,44,66.5,2017
NA,"China",91,67.8,66.1,62.2,44.8,23.3,43.9,89,38.7,2017
NA,"Russia",85.9,48.3,53.9,56.4,42,13.5,48.6,63,10.7,2017
NA,"Austria",190.2,98.7,79.6,78.8,81.5,9.6,27,22.9,77.7,2018
NA,"Japan",176,107.4,86.9,81.7,86.6,12.6,44.5,41.7,84.8,2018
NA,"Hungary",132.3,50.6,63.5,51.1,48.6,13.3,34.1,46.6,78.5,2018
NA,"Russia",103.3,51.1,54.8,56.8,43.9,11.4,48.3,63.3,44.7,2018
NA,"China",99.4,72.3,60.6,62.9,44.6,28.2,42.5,85.9,78.8,2018
NA,"Austria",191.1,96.7,78.6,79.2,71.8,10.1,25.2,22,77.7,2019
NA,"Japan",180.5,103.1,86.3,80.4,83.3,11.2,40,37.1,84.8,2019
NA,"Hungary",134.5,54.7,64.8,48.2,42,12.6,35.2,46.5,78.7,2019
NA,"Russia",104.9,45.4,58.1,57.6,35.5,12.4,46,62.8,46.5,2019
NA,"China",97.9,69,54.5,64,39.2,29.1,42.5,81.9,78.9,2019
NA,"Austria",182.5,82.4,76.3,78.7,70.4,10.9,26.3,22.2,77.3,2020
NA,"Japan",168,87.3,79.3,81.1,83.3,13,39.2,39.6,84.8,2020
NA,"Hungary",128.2,47.6,64.9,47.8,40.9,14.8,35.8,48.3,79.5,2020
NA,"China",102.8,60.9,68.2,64.5,40,29.1,41.8,80.8,79.2,2020
NA,"Russia",102.3,38.9,58.9,57.6,39.2,10.8,45.3,62.8,40.4,2020
NA,"Austria",182.4,78.2,74.8,78.4,75.5,10.4,25.7,19.2,77.8,2021
NA,"Japan",162.3,76.5,78,80.7,87.8,13,39.9,39.4,85.3,2021
NA,"Hungary",134,49.8,65.2,51.6,42.7,11.6,35.8,47.8,79.5,2021
NA,"China",103.1,57.5,69.8,66.4,42.5,29,40.9,81.5,80.2,2021
NA,"Russia",101.7,34.6,59.9,58.4,33.2,11.1,44.6,62.3,38.5,2021
NA,"Austria",179.2,77.3,73.9,76.7,71,10.7,25.5,21.7,77.1,2022
NA,"Japan",169.5,87.1,77.9,80.5,77,11,40.7,38.8,85.3,2022
NA,"Hungary",137.1,52,65.7,53.4,40.7,10.9,35.5,47.9,80.3,2022
NA,"China",105.1,60,70.6,66.4,41.8,29,40,80.6,78.4,2022
NA,"Russia",103.3,37.4,60.4,59.1,35.3,14.8,44.5,61.8,48.9,2022
NA,"Austria",185.8,91.2,72.7,77.2,66,10.3,24.8,21.5,77.1,2023
NA,"Japan",176.3,100.4,76.9,80.3,64.6,10.3,40,39.2,85.3,2023
NA,"Hungary",134.3,53.1,66.1,54.4,39.2,14.6,35.6,47.7,79.5,2023
NA,"China",104.1,62.3,73.7,67.5,39.2,34.6,38.8,79.3,78.4,2023
NA,"Russia",103,40.9,60.7,59.7,40.8,16.3,43.9,60.9,46,2023
NA,"Austria",181.5,84.4,70.7,76.6,66.8,11,24.1,21.8,77.8,2024
NA,"Japan",177.6,99.5,77.4,79.3,50.7,10,40.2,38.6,84.8,2024
NA,"Hungary",133.2,49.8,66.3,54,43.4,13.8,35.8,48,79.5,2024
NA,"China",110.9,60.5,75.1,68.1,34.1,29.6,39,78.2,79.7,2024
NA,"Russia",106.1,41.5,60.9,60.9,29.5,16.1,43.2,59.6,45.1,2024
NA,"Austria",192.9,110,70.5,77.9,60.7,11.5,23.8,20.9,77.8,2025
NA,"Japan",185.2,122.7,77.1,80,45.6,12.2,40.7,38.5,85.3,2025
NA,"Hungary",144.6,72.4,66.3,54.3,36.6,13,35.6,46.5,78.7,2025
NA,"China",121.4,80,76,68.7,30.7,28.5,38.7,77.3,79.2,2025
NA,"Russia",116.6,57.6,61.3,61.5,22.3,14.3,43.3,59,47.4,2025
NA,"Austria",199.8,123.2,71.5,78.9,71.3,9.9,23.2,20.4,76.6,2026
NA,"Japan",185.6,121.1,77.2,80.1,47.5,11.4,40.1,37.8,83.8,2026
NA,"Hungary",147.6,80.3,66.5,54.2,46.9,12.8,35.4,46.2,79.8,2026
NA,"China",134.8,96.4,76.9,69.2,30.5,21.5,38.5,76.2,74.4,2026
NA,"Russia",115.6,63.2,61.8,61.6,36.5,13.7,43.3,58.4,38,2026
